trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.9, 'e': 0.7849999999999998}",30,0,-44.908994546644124,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.7799999999999998}",20,0,-88.0601245128771,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.7749999999999998}",20,0,4.909581573299698,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.7699999999999998}",35,0,-150.17238928225922,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.7649999999999998}",20,0,-150.59158110471745,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.9, 'e': 0.7599999999999998}",20,0,-107.43400986171409,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.9, 'e': 0.7549999999999998}",20,0,-11.321833648752067,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.7499999999999998}",25,14,-25.509119012632638,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.7449999999999998}",30,0,-147.68794047856926,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.7399999999999998}",25,0,-89.33196448364151,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.7349999999999998}",20,0,-27.62098992364075,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.7299999999999998}",20,0,-66.51238252584571,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.7249999999999998}",20,0,-56.99149192357101,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.7199999999999998}",25,0,-93.09660859730229,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.9, 'e': 0.7149999999999997}",20,0,-165.13007975576178,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
58,False,"{'a': 0.9, 'e': 0.7099999999999997}",20,3,8.147178937262547,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.9, 'e': 0.7049999999999997}",25,0,-188.60257351222418,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
60,False,"{'a': 0.9, 'e': 0.6999999999999997}",25,0,-68.94545223991706,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.6949999999999997}",20,0,-89.16951537265265,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.6899999999999997}",20,0,-50.28848450566677,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.6849999999999997}",25,0,-84.6382021259998,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.6799999999999997}",20,0,-29.54642217801537,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.6749999999999997}",20,13,13.593677323713681,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.6699999999999997}",20,0,0.5478991752227824,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.6649999999999997}",20,1,-78.75195397328017,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.9, 'e': 0.6599999999999997}",25,9,-112.69638312031584,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
69,False,"{'a': 0.9, 'e': 0.6549999999999997}",25,11,-9.67015463882214,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.6499999999999997}",30,0,-146.11040474087145,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.6449999999999997}",20,0,-19.81475875838183,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
